Num_G_nodes, Avg_time, Max_cost, Avg_cost, Netx_avg_cost, Percent_MIS, Density
159,0.442717981338501,6.0,5.8,4.6,1.0,0.7
160,0.4589821815490723,6.0,5.2,5.0,1.0,0.7
161,0.45687098503112794,7.0,6.2,4.6,1.0,0.7
162,0.4386294364929199,6.0,5.6,4.4,1.0,0.7
163,0.45957579612731936,7.0,5.8,4.8,1.0,0.7
164,0.4744843006134033,7.0,6.0,4.6,1.0,0.7
165,0.4395782470703125,6.0,5.6,5.2,1.0,0.7
166,0.5185730934143067,6.0,5.8,4.6,1.0,0.7
167,0.44065289497375487,6.0,5.8,4.2,1.0,0.7
168,0.5221433639526367,6.0,6.0,4.8,1.0,0.7
169,0.5066808700561524,7.0,5.8,5.2,1.0,0.7
170,0.49381241798400877,6.0,5.8,4.4,1.0,0.7
171,0.45845599174499513,6.0,5.6,5.2,1.0,0.7
172,0.4511720657348633,6.0,5.4,4.4,1.0,0.7
173,0.5094576358795166,7.0,6.0,4.4,1.0,0.7
174,0.535373306274414,7.0,6.0,5.2,1.0,0.7
175,0.4673680305480957,6.0,6.0,4.6,1.0,0.7
176,0.5795243740081787,6.0,6.0,4.6,1.0,0.7
177,0.5048379898071289,7.0,6.2,4.6,1.0,0.7
178,0.47293863296508787,6.0,5.8,4.6,1.0,0.7
179,0.544675350189209,6.0,5.8,4.6,1.0,0.7
180,0.47333836555480957,6.0,5.4,4.8,1.0,0.7
181,0.5654771327972412,6.0,5.6,4.4,1.0,0.7
182,0.5889745712280273,7.0,6.2,4.6,1.0,0.7
183,0.5410145282745361,7.0,6.2,4.8,1.0,0.7
184,0.5149891376495361,6.0,5.8,5.0,1.0,0.7
185,0.6067479610443115,7.0,6.8,4.4,1.0,0.7
186,0.49503579139709475,6.0,5.8,5.2,1.0,0.7
187,0.5900613784790039,7.0,6.2,5.4,1.0,0.7
188,0.5502852916717529,6.0,5.8,4.8,1.0,0.7
189,0.5153725624084473,7.0,5.8,5.0,1.0,0.7
190,0.6027011871337891,6.0,5.8,4.8,1.0,0.7
191,0.6098625659942627,7.0,5.6,4.6,1.0,0.7
192,0.4987802028656006,7.0,5.8,5.4,1.0,0.7
193,0.5403282165527343,7.0,5.6,5.2,1.0,0.7
194,0.5810805320739746,6.0,6.0,4.4,1.0,0.7
195,0.5815889358520507,7.0,5.8,4.8,1.0,0.7
196,0.570140266418457,6.0,5.8,5.4,1.0,0.7
197,0.5578306674957275,7.0,6.0,4.6,1.0,0.7
198,0.6029609203338623,7.0,6.0,4.8,1.0,0.7
199,0.6101568222045899,6.0,5.6,4.6,1.0,0.7
